record_id,title,class_no_book_no,intent,depth,publisher,pages
e1a1b65911333d5e2453d10950ee1299,Introduction to Data Structures and Algorithms with C++,005.73 row,,,,370 p.;
9340060b42e3f84a7aa628a2e7aeecc0,data structures in java,005.73 sta,,,,555 p.;
79729a2f8b152c3e101a0dee6fa965eb,Inside Java2 Virtual Machine W/Cd,005.73 ven,,,Tata McGraw-Hill Education,703 p.;
bc035387791edc07d220565bbcdcfdcb,c++ programming language,005.13 str,,,,1019 p.;
fdfeefb311696531c464d705a0b7c245,Digital Computer Electronics,004.16 mal,,,Tata McGraw-Hill Education,"vi, 522 p.;"
b52e962afa25acd512b73aa2f10f3c92,Introduction To Algorithms,005.1 cor,,,MIT Press,1180 p.;
4897359095d067387bbff9e51c2662d1,design pattern for object-oriented software development,005.117 pre,,,,268 p.;
d48bf7bc3dd535f98e8c6e36f369447f,Object-oriented Analysis and Design with Applications,005.117 boo,,,,589 p.;
ae82bf78c8ba454bf3ad99c1ee262848,Java,005.133 sch,,,,1077 p.;
a79292802ea326ef89c9d3278e4c88e7,unified modeling language user guide,005.117 boo,,,,482 p.;
67fc0e8659ecb87b1acbfadfda07dc29,distributed com : application development using visual basic 6.0,005.437 mal,,,,699 p.;
1654d632041c27b789838d75076b9bd2,advanced computer architectures : a design space approach,004.22 sim,,,,766 p.;
62ebf369e05b2a2b1f52f44bf752bd15,effective com,005.437 box,,,,222 p.;
4e4b069b3b13c4628f4ed955723f39f0,Computer Systems Design and Architecture,004.22 heu,,,,571 p.;
d4b9ddd0630f80091f4e1c400aca1859,Teach Yourself C++,005.133 sch,,,Tata McGraw-Hill Education,747 p.;
5cc279c4eef6bf26c85959370e53c8ab,introduction to the intel family of microprocessors,004.16 ant,,,,768 p.;
fcfbfc918433da50c9a413c721cd0d48,Schaum's Outline of Programming with C,005.133 got,,,McGraw-Hill Education,532 p.;
6c7396149993465808553cb6ed79f114,thinking in c++,005.13 eck,,,,814 p.
407638b1fe55426aa3565352b0a24b0e,Computer Organization,004.22 ham,,,,555 p.;
af57991f72d3d04a97c57954b9c322ec,Principles of Digital Communication,621.382 das,,,John Wiley & Sons,645 p.;
f603efbcf8d015ad0ff2c2e6ec54f36a,Digital Communications,621.382 hay,,,,507 p.;
996cb9f02c9a49b7d5bda97e819c0875,electronic communications systems,621.382 tom,,,,880 p.;
c156754f289fa75d579b9cfb3749fcfe,digital communications systems with satellite and fiber optics applications,621.382 kol,,,,466 p.;
595cb2e7f8c56143b593169259f26dae,c++ : the complete reference,005.133 sch,,,,1008 p.;
0153e894efc08d014dd0dfcb512f4fd2,A South Indian Subcaste,291.175 dum,,,"Oxford University Press, USA",501 p.;
1adc23ddb7ca19fb6b23910d5e52df92,Cooking the World,291.38 mal,,,,354 p.;
b59ed1e6367ad2ed6a286f224e40f1ad,homo hierarchicus,305.5122 dum,,,,490 p.;
612d432bfb7be44fe8ecb3b6dda497a3,inside corba,005.276 mow,,,,376 p.;
4bcf8b4c362af254269fc11e9bc7ac35,"science, hegemony and violence : a requiem for modernity",809.4 nan,,,,301 p.;
e684cab64aa5f0b89273f2826acfef29,politics in india,320.954 kot,,,,470 p.;
c9c845775fb6e576dfbe54c841fe0cf9,"Science, Hegemony and Violence",809.4 nan,,,,301 p.;
94b77b7325d237c9b500c1713f2956f5,"""Of Many Heroes""",809 dev,,,Orient Blackswan,213 p.;
2971b7859c6a229387886e581f492dc8,"Modern India, 1885-1947",900.954 sar,,,Macmillan Children's Books,486 p.;
314aa12ec0396c17203a3ba20b815f6e,A History of India,900.954 spe,,,Penguin Books India,298 p.;
3f5f379aea4f94f330af2817e08a09a3,Subaltern Studies:,900.914 guh,,,Oxford Paperbacks,335 p.;
7d1ff71ac1b74a9b47696c5c7b5cc87c,After Amnesia,809.4 dev,,,,147 p.;
d7f594d81b743628a20b892ee2679c8d,Data Structures & Algorithm Analysis in C++,005.73 wei,,,Addison Wesley Longman,498 p.;
ab4e5d171e6e4638d84ff76a157af901,"Introduction to Automata Theory, Languages, and Computation",005.73 mug,,,,754 p.;
ecd060460086d689bfc9f513deb02b4e,Non-renunciation,294.548 mad,,,"Oxford University Press, USA",184 p.
b25956ec089ba5a132418f3a5bae45fc,The Computer Challenge,004 hus,,,MacMillan Publishing Company,526 p.;
74aa628dc8c5f486e50f085da43b323a,The Savage Freud,809.4 nan,,,OUP India,275 p.;
7a6f1d8d05e29405cab5a5c6c9e559f4,ibm pc/xt,005.1 nes,,,,310 p.;
8bae2f1c45817f19f96d4c81a7f29253,COMPUTER PRIMER,005.1 raj,,,PHI Learning Pvt. Ltd.,484 p.;
cd488b36b95dff51bf759fa3d8a08aa7,computer in your future,004.678 mey,,,,Weekly;
b583b9c308d461ba7ff8f827f9f4d1e2,elements of engineering electromagnetics,621.3 rao,,,,721 p.;
277e160bc2332ee2ecee410137621b14,hdtv and video systems repair,620.0046 ros,,,,480 p.;
a928941de8948ac80f66db074bb02182,Footprints of Enterprise,330.954 kan,,,,420 p.;
2d266b33af0e8cf68021b1919b2c6f5d,effective business communication,658.45 kau,,,,172p.;
0c2b364537d5556182b79cebc3f7aff9,Investments,658.1554 fra,,,,935 p.;
c4d80b613bbf01d6338231dfa45e9bfc,Treasury Management in Emerging Markets,658.4 see,,,,234p.;
5a1e78a74b35794c03567cf9048f762d,Financial Management and Policy,658.4 hor,,,Pearson,749 p.;
73b42072696633c365cf3bf271657f28,transforming the organization,658.4063 gou,,,,323 p.;
36fc8c5b91ef3f2a602b731b95ef4f81,Leading Teams,658.4036 zen,,,McGraw-Hill Companies,287 p.;
8af838399ea12eab9f99c60b46a4a46d,Asset Liability Management,658.4 kum,,,,244 p.;
350f7bdf077354d8695112d940d10f2e,calculus of variations with applications,515.64 gup,,,,242 p.;
8028fadda0ed2420e5f0cacaaffdbb14,indian banking in transition,657.8333 kum,,,,356 p.;
f7ea1cf6117451303ec227ce2e36203e,Project Preparationappraisalbudgeting and Implementation,658.404 cha,,,,570 p.;
5645923bcc4d895aa6445a95e27a76ac,Digital Principles and Applications,621.395 mal,,,McGraw-Hill Companies,540 p.;
fe6f9194788fe6bf45984019f264e207,"Pulse, Digital, and Switching Waveforms",621.381534 mil,,,,958 p.;
2dcdf489aa6c1a4adcce4cf55830c596,Programming in ANSI C,005.1 bal,,,Tata McGraw-Hill Education,411 p.;
baac1d138c07e9e0ef7410ce0b738195,stock matrket analysis,331.2146 yas,,,,196 p.;
eba2acf8131f44b29dcceb9bc94c011a,Global CEO,650 ved,,,,460 p.;
1fc2c09857a4aa2f220ea1823494acec,integrated electronics,621.3815 mil,,,,910 p.;
fa703a7e011ec0eddb3b236361f9b9f7,Electronics : a Systems Approach,621.381 sto,,,,672 p.;
2648a338339b0963bedeb98923d28c38,Mastering C++,005.13 ven,,,Tata McGraw-Hill Education,804 p.;
2ac87d777af14cc8f791188ba0129c3d,Structure and Cognition,294 das,,,"Oxford University Press, USA",171 p.;
161c3d2a17637fbad64979bd2cadd6c8,Hinduism,294.5 bia,,,,189 p.;
9b990bdff18f4715190bbf27f69b97ef,The Essential Guide to Telecommunications,621.382 dod,,,,251 p.;
ae07b7502f20b90e492a19fdf177a5f0,"Science, Hegemony and Violence",809.4 nan,,,,301 p.;
c23283e0f3dabed4773a9313d309dbca,Data Structures Using Pascal,005.73 ten,,,,774 p.;
eb6d2dfccf4af1b53f8c8473b82d156f,essential c++,005.13 lip,,,,276 p.
a2ecf97619005ffa790971575b0a9e7d,"science, hegemony and violence : a requiem for modernity",809.4 nan,,,,301 p.;
eda07edbf553ed919da35958ddd65b83,"The Remembered Village, Second Edition",300 sri,,,OUP India,356 p.;
b1f0f2d1348f15ef995aaf1c4ffce169,Return from Exile,100 nan,,,,275 p.;
9bedbf796ee6519221984f6e61c9ecb4,"Hind Swaraj, Or, Indian Home Rule",923 gan,,,,96 p.;
ee4e3d3f6593e4d5ca6b81f1af638565,Subaltern Studies,900.914 ami,,,,284 p. ;
e696ad021095cd1cc11891ea842ee40a,Shorter Constitution of India,342.02954 bas,,,,1972 p.;
986b2a14f060d134102cece6fbd9f145,Computer Organization and Design,004.22 cha,,,PHI Learning Pvt. Ltd.,959 p.;
5961970d231e869bbdd7f78879250e31,guide to cyber laws,348.02 ryd,,,,1146 p.;
f6cb1df7f3c40ca02a9c521665370c0c,Microcomputer Systems: The 8086/8088 Family: Architecture Programming And Design 2Nd Ed.,004.16 liu,,,,623 p.;
1807e71ab3bb7e2d6bbe1df73635bcfd,Digital Logic And Computer Design,004 man,,,,612 p.;
